mix_name,mix_type,count,make,model,source
CA_Feb_20,BEV,54,Ford,TH!NK,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,BEV,1785,Toyota,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,BEV,10314,Volkswagen,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,BEV,2,Wheego,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,FCEV,1176,Honda,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,FCEV,301,Hyundai,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,FCEV,24,Mercedes-Benz,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,FCEV,5403,Toyota,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,2354,Audi,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,2886,BMW,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,271,Cadillac,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,49241,Chevrolet,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,2399,Chrysler,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,24681,Ford,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,8987,Honda,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,2383,Hyundai,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,2502,Kia,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,70,Mercedes-Benz,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,756,Mitsubishi,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,266,Subaru,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,33579,Toyota,na,https://cleanvehiclerebate.org/eng/rebate-statistics
CA_Feb_20,PHEV,509,Volvo,na,https://cleanvehiclerebate.org/eng/rebate-statistics
VT_mix,EBike,1,Dillenger,Bafang,Artificial - equal weights
VT_mix,EBike,1,Dillenger,Samsung,Artificial - equal weights
VT_mix,EBike,1,Electra,Townie,Artificial - equal weights
VT_mix,EBike,1,Evelo,Aurora,Artificial - equal weights
VT_mix,EBike,1,Juiced,Cross current,Artificial - equal weights
VT_mix,EBike,1,Rad Power,Radwagon,Artificial - equal weights
VT_mix,EBike,1,Rad Power,Rover,Artificial - equal weights
VT_mix,EBike,1,Sondors,Original,Artificial - equal weights
VT_mix,EBike,1,Yuba,Spicy Curry,Artificial - equal weights
